id,season,episode,key,partners,mentions
175,8,5,Ross,Ross & Mona,1
175,8,5,Rachel & Joey,Rachel & Joey,4
175,8,5,Monica & Chandler,Monica & Chandler,1
176,8,6,Ross,Ross & Mona,3
176,8,6,Monica & Chandler,Monica & Chandler,5
177,8,7,Ross & Rachel,Ross & Rachel,1
177,8,7,Rachel & Joey,Rachel & Joey,3
177,8,7,Monica & Chandler,Monica & Chandler,5
178,8,8,Ross & Rachel,Ross & Rachel,3
178,8,8,Ross,Ross & Mona,3
178,8,8,Rachel & Joey,Rachel & Joey,2
178,8,8,Monica & Chandler,Monica & Chandler,5
179,8,9,Ross & Rachel,Ross & Rachel,3
179,8,9,Rachel & Joey,Rachel & Joey,2
179,8,9,Monica & Chandler,Monica & Chandler,5
180,8,10,Ross & Rachel,Ross & Rachel,2
180,8,10,Rachel & Joey,Rachel & Joey,5
180,8,10,Monica & Chandler,Monica & Chandler,4
181,8,11,Ross & Rachel,Ross & Rachel,1
181,8,11,Ross,Ross & Mona,6
181,8,11,Rachel & Joey,Rachel & Joey,3
181,8,11,Monica & Chandler,Monica & Chandler,2
182,8,12,Ross & Rachel,Ross & Rachel,2
182,8,12,Rachel & Joey,Rachel & Joey,5
182,8,12,Monica & Chandler,Monica & Chandler,6
183,8,13,Ross & Rachel,Ross & Rachel,4
183,8,13,Rachel & Joey,Rachel & Joey,3
183,8,13,Monica & Chandler,Monica & Chandler,7
184,8,14,Ross & Rachel,Ross & Rachel,4
184,8,14,Rachel & Joey,Rachel & Joey,5
184,8,14,Monica & Chandler,Monica & Chandler,6
184,8,14,Monica,Monica & Richard,1
185,8,15,Ross & Rachel,Ross & Rachel,2
185,8,15,Ross,Ross & Mona,2
185,8,15,Rachel & Joey,Rachel & Joey,2
185,8,15,Monica & Chandler,Monica & Chandler,7
186,8,16,Ross & Rachel,Ross & Rachel,3
186,8,16,Rachel & Joey,Rachel & Joey,6
186,8,16,Monica & Chandler,Monica & Chandler,4
187,8,17,Ross & Rachel,Ross & Rachel,2
187,8,17,Ross,Ross & Mona,2
187,8,17,Rachel & Joey,Rachel & Joey,3
187,8,17,Monica & Chandler,Monica & Chandler,6
188,8,18,Ross & Rachel,Ross & Rachel,8
188,8,18,Rachel & Joey,Rachel & Joey,2
188,8,18,Monica & Chandler,Monica & Chandler,3
189,8,19,Ross & Rachel,Ross & Rachel,5
189,8,19,Rachel & Joey,Rachel & Joey,12
189,8,19,Monica & Chandler,Monica & Chandler,3
