country,iso_a3,country_name,continent,region,region_un,year,pop,gdp_pcap,life_exp,income_daily,co2_pcap,fertility
Mongolia,MNG,Mongolia,Asia,East Asia & Pacific,Asia,2022,3389999.9999999995,12100,68.9,9.860000000000001,14.2,2.75
Montenegro,MNE,Montenegro,Europe,Europe & Central Asia,Europe,2022,615000,22100,75.7,18.1,3.17,1.8800000000000001
Morocco,MAR,Morocco,Africa,Middle East & North Africa,Africa,2022,37300000,8080,74,11.6,2,2.2600000000000002
Mozambique,MOZ,Mozambique,Africa,Sub-Saharan Africa,Africa,2022,32700000.000000004,1250,56.9,2.03,0.456,4.84
Myanmar,MMR,Myanmar,Asia,East Asia & Pacific,Asia,2022,53800000,4170,70.1,6.29,0.549,2.13
Namibia,NAM,Namibia,Africa,Sub-Saharan Africa,Africa,2022,2889999.9999999995,9560,60,10.2,3.9699999999999998,3.25
Nepal,NPL,Nepal,Asia,South Asia,Asia,2022,29700000,4000,72,7.75,0.922,2
Netherlands,NLD,Netherlands,Europe,Europe & Central Asia,Europe,2022,17900000,58500,82.2,69.3,8.77,1.51
New Zealand,NZL,New Zealand,Oceania,East Asia & Pacific,Oceania,2022,5130000,45200,82.2,45.3,7.51,1.6700000000000002
Nicaragua,NIC,Nicaragua,Americas,Latin America & Caribbean,Americas,2022,6730000,5820,76,12.7,0.9440000000000001,2.24
Niger,NER,Niger,Africa,Sub-Saharan Africa,Africa,2022,25300000,1280,61.7,3.05,0.113,6.14
Nigeria,NGA,Nigeria,Africa,Sub-Saharan Africa,Africa,2022,223000000,4960,65.2,3.56,0.692,4.55
Norway,NOR,Norway,Europe,Europe & Central Asia,Europe,2022,5460000,67300,83.3,76.9,8.719999999999999,1.42
Oman,OMN,Oman,Asia,Middle East & North Africa,Asia,2022,4730000,35300,70.1,35,14.9,2.4499999999999997
Pakistan,PAK,Pakistan,Asia,South Asia,Asia,2022,244000000,5380,65.5,5.3,1.1,3.66
Panama,PAN,Panama,Americas,Latin America & Caribbean,Americas,2022,4400000,33300,79,33.8,4.02,2.14
Paraguay,PRY,Paraguay,Americas,Latin America & Caribbean,Americas,2022,6760000,13500,73.3,18.5,2,2.44
Peru,PER,Peru,Americas,Latin America & Caribbean,Americas,2022,33500000,12700,77.3,12.3,2.01,2
Philippines,PHL,Philippines,Asia,East Asia & Pacific,Asia,2022,114000000,8580,72.2,8.15,1.61,1.93
Poland,POL,Poland,Europe,Europe & Central Asia,Europe,2022,38400000,37800,77.2,31,8.01,1.26
Portugal,PRT,Portugal,Europe,Europe & Central Asia,Europe,2022,10400000,35800,82.3,40.9,4.6,1.45
Romania,ROU,Romania,Europe,Europe & Central Asia,Europe,2022,19200000,32400,73.2,27.1,4.359999999999999,1.72
Rwanda,RWA,Rwanda,Africa,Sub-Saharan Africa,Africa,2022,13700000,2360,69.4,3.8299999999999996,0.17900000000000002,3.7800000000000002
Sao Tome and Principe,STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,Africa,2022,226000,3980,71.2,5.57,0.641,3.7
Saudi Arabia,SAU,Saudi Arabia,Asia,Middle East & North Africa,Asia,2022,32200000.000000004,49400,75.1,51,18.4,2.14
Senegal,SEN,Senegal,Africa,Sub-Saharan Africa,Africa,2022,17700000,3550,67.9,6.33,1.02,3.86
Serbia,SRB,Serbia,Europe,Europe & Central Asia,Europe,2022,6790000,20900,73.1,21.6,5.109999999999999,1.52
Sierra Leone,SLE,Sierra Leone,Africa,Sub-Saharan Africa,Africa,2022,8279999.999999999,1630,61.9,3.9499999999999997,0.15400000000000003,3.88
Singapore,SGP,Singapore,Asia,East Asia & Pacific,Asia,2022,5649999.999999999,108000,85.2,128,25.4,0.9400000000000001
Slovak Republic,SVK,Slovak Republic,Europe,Europe & Central Asia,Europe,2022,5470000.000000001,33200,75.2,27,7.37,1.56
Slovenia,SVN,Slovenia,Europe,Europe & Central Asia,Europe,2022,2120000,40900,81.9,51.8,8.46,1.57
Somalia,SOM,Somalia,Africa,Sub-Saharan Africa,Africa,2022,17800000,1130,57.5,2.8099999999999996,0.051000000000000004,6.26
South Africa,ZAF,South Africa,Africa,Sub-Saharan Africa,Africa,2022,62400000,13500,60.5,11.5,5.18,2.23
Spain,ESP,Spain,Europe,Europe & Central Asia,Europe,2022,47800000,39800,83.5,52,5.659999999999999,1.21
